-76.5006	3.28558	
-75.78	2.07	
-76.908	3.59889	
-75.6394	6.15348	
-75.6359	6.1446	
-74.1632	4.7834	
-74.2591	4.68393	
-71.7824	6.86402	
-75.336	6.4544	
-73.8922	7.09483	
-74.8457	11.0004	
-72.5267	7.87763	
-75.542	6.34249	
-75.3997	2.75042	
-75.4445	10.3905	
-73.0985	7.14029	
-71.0862	6.9614	
-75.5049	10.358	
-75.9092	4.72967	
-75.4898	7.92585	
-75.4239	9.1264	
-73.2314	4.88241	
-73.7603	6.93732	
-74.0303	4.63178	
-73.8174	7.06587	
-71.9391	4.1452	
-71.9313	8.44873	
-72.13	10.9424	
-72.6104	11.183	
-75.5214	10.4107	
-73.9421	10.1608	
-75.2344	6.7927	
-75.5969	6.18141	
-75.7032	4.9596	
-74.1792	10.514	
-75.1959	6.8527	
-73.4154	11.2551	
-75.1052	6.28181	
-73.0176	6.94604	
-73.437	4.72569	
-75.0035	6.34459	
-72.5085	4.38554	
-77.2853	1.27283	
-76.4833	3.44209	
-75.4574	5.01919	
-74.4722	4.58547	
-75.6311	4.87509	
-74.4808	4.62671	
-73.647	4.14512	
-74.56	6.23403	
-75.4349	6.41892	
-75.8476	4.88201	
-73.1323	7.1669	
-74.5325	6.50153	
-73.7866	6.96694	
-74.8254	5.40104	
-75.5008	6.26605	
-75.1726	4.40368	
-76.6603	1.16611	
-74.1689	4.75404	
-73.3216	8.21516	
-75.553	6.29063	
-75.3881	6.15484	
-76.3576	3.04016	
-73.1458	5.76876	
-76.5468	3.35064	
-74.4022	4.57165	
-74.9253	6.26269	
-77.7581	6.09e-07	
-75.0751	6.91269	
-75.2426	7.07081	
-74.3493	6.51307	
-74.7213	5.42141	
-71.5501	3.92033	
-75.5681	2.47027	
-71.1007	3.78069	
-74.9116	10.6524	
-76.7455	2.9592	
-72.3013	7.03338	
-76.5935	2.49878	
-74.8126	6.21355	
-74.9005	5.21803	
-76.4489	3.61944	
-72.4843	7.87349	
-74.2044	4.57788	
-74.1845	11.212	
-73.1936	5.90147	
-73.4167	7.10833	
-72.6542	7.64363	
-74.7606	10.9384	
-75.487	10.3648	
-74.0503	6.29637	
-74.0746	11.3143	
-74.8265	11.0247	
-75.4623	10.3783	
-72.5335	7.2783	
-74.0294	4.77834	
-74.1408	4.57359	
-76.6543	8.06185	
-76.2094	8.02921	
-73.2747	10.4607	
-76.4989	3.55527	
