linea,tension,se_inicial,se_final,volt_nom,conductor,i_nominal,empresa,longpropia,anotacion,depto,cod_dep,objectid_1
TERNERA-BOSQUE,220 kV,TERN,BOSQ,220, ,810, , , ,BOLIVAR,13,188
BOSQUE-BOLIVAR,220 kV,BOSQ,BOLI,220, ,810, , , ,BOLIVAR,13,189
GUAJIRA - TERMOCOL 220 kV,220 kV,TMCOL,TGJA,220,AAAC 927.2,630,TRANSELCA,91.51 Km,Documento TRANSELCA 004831 del 27/09/02 - Radicado UPME 23619 del 30/09/02.,GUAJIRA,44,190
TERMOCOL - SANTA MARTA 1 220 kV,220 kV,TMCOL,SMAR,220,AAAC 927.2,630,TRANSELCA,91.51 Km,Documento TRANSELCA 004831 del 27/09/02 - Radicado UPME 23619 del 30/09/02.,GUAJIRA,44,191
SABANALARGA - FUNDACION 3,220 kV,SAB,FUND,220, ,810, , , ,ATLANTICO,8,192
OCAÑA-SOGAMOSO,500 kV,OCA,SOGA,500, ,810,ISA, , ,CESAR,20,193
SOGAMOSO - BUCARAMANGA,230 kV,SOGA,BUCA,230, ,810,ESSA-ISA, , ,SANTANDER,68,194
SOGAMOSO_GUATIGUARA 1,220 kV,SOGA,NBUC,220, ,810,ISA, , ,SANTANDER,68,195
SOGAMOSO_GUATIGUARA 2,220 kV,SOGA,NBUC,220, ,810,ISA, , ,SANTANDER,68,196
CHIVOR 2-JAGUEY,220 kV,CHIV,JGY,220, ,810,PEL, , ,BOY-CASANARE,15,197
CHIVOR 2_COROCORA,220 kV,CHIV,COROC,220, ,810,PEL, , ,BOYACA-META,15,198
JAGUEY-QUIFA,220 kV,JGY,QUIF,220, ,810,PEL, , ,CASANARE-META,85,199
COROCORA-QUIFA,220 kV,COROC,QUIF,220, ,810,PEL, , ,BOYACA-META,15,200
QUIFA-RUBIALES2,220 kV,QUIF,RUBI,220, ,810,PEL, , ,META,50,201
QUIFA-RUBIALES1,220 kV,QUIF,RUBI,220, ,810,PEL, , ,META,50,202
CHIVOR 2_CHIVOR 1,220 kV,CHIV,CHIV,220, ,810,EEB, , ,BOYACA,15,203
CHIVOR 2_CHIVOR 2,220 kV,CHIV,CHIV,220, ,810,EEB, , ,BOYACA,15,204
QUIMBO_ALTAMIRA,220 kV,QUIMBO,ALTAMIRA,220, ,810, , , ,HUILA,41,205
YUMBO - ALFEREZ,230 kV,ALFE,YUMB,230, ,868,ISA,122.6 Km, ,CAUCA,19,206
BETANIA-QUIMBO,220 kV,BETA,QUIMBO,220, ,810, , , ,HUILA-NARIÑO,41,207
CIRA INFANTA – COMUNEROS,220 kV,CIRF,BARI,220,,810,ISA,,,NORTE DE SANTANDER,54,208
PORCE III – CERROMATOSO,500 kV,PORCE III,CMA,500,,810,,,,ANTIOQUIA,5,209
PORCE III – SAN CARLOS,500 kV,PORCE III,SAC,500,,810,,,,ANTIOQUIA,5,210
